2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch started!
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 User selected 'On my way'.
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Created
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Destroyed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch stopped!
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Completion SeekBar tracking touch started!
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 User selected 'Ready to take picture'.
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Created
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Destroyed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Camera button clicked!
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Camera image accepted!
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Created
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Destroyed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Confirmation return button clicked.
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Created
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,ConfirmationActivity - 	 Destroyed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-22,12:35 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-22,05:24 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
