2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 View-Archived button clicked.
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Created
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Resumed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Back button pressed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Paused
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Stopped
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,ArchivedAlarmsActivity - 	 Destroyed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 View-Inactive button clicked.
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,CompleteAlarmsActivity - 	 Created
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,CompleteAlarmsActivity - 	 Resumed
2019-11-19,12:37 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
