2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Created
2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-11,02:58 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch started!
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch started!
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch started!
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 User selected 'Remind me later'.
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Destroyed
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch stopped!
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-11,03:00 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Acknowledgment SeekBar tracking touch started!
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 User selected 'Remind me later'.
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-09-11,03:01 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Destroyed
2019-09-11,03:02 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-09-11,03:02 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-09-11,03:02 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-09-11,03:02 PM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-09-11,03:14 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-09-11,03:14 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
