2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Created
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Resumed
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Paused
2019-10-21,09:50 AM,Info,SmartPrompterV2-UI,MainActivity - 	 Stopped
