2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Back button pressed
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Destroyed
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-10-16,06:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
