2019-11-11,08:42 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-11-11,08:42 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-11-11,08:42 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-11-11,08:42 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
